model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
beit_base_patch16_224.in22k_ft_in22k_in1k,350.0,89.395,10.605,98.529,1.471,86.53,224,0.9,bicubic,4.183,0.871
regnetz_e8.ra3_in1k,232.0,89.378,10.622,98.459,1.542,57.70,320,1.0,bicubic,4.344,1.186
deit3_small_patch16_384.fb_in22k_ft_in1k,88.9,89.363,10.637,98.386,1.614,22.21,384,1.0,bicubic,4.539,0.9
tf_efficientnetv2_m.in1k,218.0,89.35,10.65,98.326,1.674,54.14,480,1.0,bicubic,4.146,0.962
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,156.0,89.348,10.652,98.495,1.505,39.03,384,0.95,bicubic,3.818,0.859
tf_efficientnet_b8.ra_in1k,352.0,89.348,10.652,98.305,1.695,87.41,672,0.954,bicubic,3.98,0.911
tf_efficientnet_b6.ap_in1k,173.0,89.344,10.656,98.283,1.717,43.04,528,0.942,bicubic,4.556,1.145
volo_d2_224.sail_in1k,235.0,89.335,10.665,98.213,1.787,58.68,224,0.96,bicubic,4.133,1.023
eva02_small_patch14_336.mim_in22k_ft_in1k,88.6,89.333,10.667,98.377,1.623,22.13,336,1.0,bicubic,3.615,0.743
caformer_s18.sail_in1k_384,105.0,89.331,10.669,98.294,1.706,26.34,384,1.0,bicubic,4.305,0.936
vit_large_patch16_224.augreg_in21k_ft_in1k,1249.28,89.318,10.682,98.39,1.61,304.33,224,0.9,bicubic,3.482,0.726
flexivit_large.300ep_in1k,1259.52,89.31,10.69,98.324,1.676,304.36,240,0.95,bicubic,4.022,0.924
tf_efficientnet_b4.ns_jft_in1k,78.1,89.301,10.699,98.345,1.655,19.34,380,0.922,bicubic,4.141,0.877
convnext_small.fb_in22k_ft_in1k,201.0,89.299,10.701,98.358,1.642,50.22,288,1.0,bicubic,4.037,0.676
xcit_small_24_p16_384.fb_dist_in1k,191.0,89.295,10.705,98.326,1.674,47.67,384,1.0,bicubic,4.205,1.014
