resnet101d.ra2_in1k,179 MB
regnety_040.ra3_in1k,83 MB
mobilevitv2_200.cvnets_in22k_ft_in1k_384,74 MB
swinv2_cr_small_ns_224.sw_in1k,199 MB
focalnet_small_lrf.ms_in1k,202 MB
repvit_m1_5.dist_450e_in1k,59.4 MB
resnetv2_101.a1h_in1k,179 MB
efficientvit_b2.r288_in1k,97.6 MB
vit_base_patch32_384.augreg_in21k_ft_in1k,353 MB
sequencer2d_l.in1k,218 MB
twins_svt_large.in1k,397 MB
coatnet_rmlp_1_rw_224.sw_in1k,167 MB
twins_pcpvt_large.in1k,244 MB
swin_base_patch4_window7_224.ms_in1k,353 MB
maxvit_tiny_rw_224.sw_in1k,117 MB
swin_s3_small_224.ms_in1k,209 MB
convformer_s18.sail_in1k,107 MB
deit_base_patch16_384.fb_in1k,347 MB
mobilevitv2_175.cvnets_in22k_ft_in1k_384,57.2 MB
ecaresnet101d.miil_in1k,179 MB
convnext_nano.in12k_ft_in1k,62.4 MB
xcit_small_12_p8_224.fb_in1k,105 MB
flexivit_small.600ep_in1k,91.6 MB
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,353 MB
flexivit_small.1200ep_in1k,91.6 MB
focalnet_small_srf.ms_in1k,200 MB
tf_efficientnetv2_b3.in21k_ft_in1k,58.1 MB
maxxvit_rmlp_nano_rw_256.sw_in1k,67.3 MB
deit3_medium_patch16_224.fb_in1k,155 MB
tresnet_xl.miil_in1k_448,315 MB
resnetv2_50x1_bit.goog_distilled_in1k,102 MB
repvit_m1_5.dist_300e_in1k,59.4 MB
convnext_tiny.fb_in1k,114 MB
regnety_320.tv2_in1k,581 MB
resnext101_64x4d.tv_in1k,335 MB
convnextv2_nano.fcmae_ft_in22k_in1k,62.6 MB
twins_pcpvt_base.in1k,175 MB
tresnet_m.miil_in21k_ft_in1k,126 MB
mvitv2_tiny.fb_in1k,96.8 MB
gc_efficientnetv2_rw_t.agc_in1k,55.5 MB
maxvit_rmlp_nano_rw_256.sw_in1k,62.2 MB
resnetv2_101x1_bit.goog_in21k_ft_in1k,178 MB
rexnet_300.nav_in1k,139 MB
swin_small_patch4_window7_224.ms_in1k,200 MB
efficientnetv2_rw_t.ra2_in1k,55.3 MB
twins_svt_base.in1k,224 MB
mobilevitv2_150.cvnets_in22k_ft_in1k_384,42.6 MB
coat_small.in1k,86.9 MB
fastvit_sa24.apple_in1k,86.8 MB
maxxvitv2_nano_rw_256.sw_in1k,94.9 MB
efficientvit_b2.r256_in1k,97.6 MB
pnasnet5large.tf_in1k,345 MB
resnet101.a1h_in1k,179 MB
resnetaa50d.sw_in12k_ft_in1k,103 MB
cs3edgenet_x.c2_in1k,192 MB
flexivit_small.300ep_in1k,91.6 MB
xcit_medium_24_p8_224.fb_in1k,338 MB
swinv2_tiny_window16_256.ms_in1k,119 MB
resnext101_32x16d.fb_swsl_ig1b_ft_in1k,778 MB
resnext50_32x4d.fb_swsl_ig1b_ft_in1k,100 MB
nest_base_jx.goog_in1k,271 MB
maxvit_nano_rw_256.sw_in1k,62 MB
tf_efficientnet_b4.in1k,78.1 MB
davit_tiny.msft_in1k,114 MB
levit_384.fb_dist_in1k,157 MB
levit_conv_384.fb_dist_in1k,157 MB
sequencer2d_m.in1k,153 MB
convnextv2_nano.fcmae_ft_in1k,62.6 MB
tf_efficientnet_b2.ns_jft_in1k,36.9 MB
ecaresnet50t.ra2_in1k,103 MB
regnetx_320.tv2_in1k,432 MB
vit_base_patch32_clip_224.laion2b_ft_in1k,353 MB
efficientformerv2_s2.snap_dist_in1k,51.7 MB
inception_next_tiny.sail_in1k,112 MB
coatnet_bn_0_rw_224.sw_in1k,110 MB
vit_base_patch16_rpn_224.sw_in1k,346 MB
pvt_v2_b2_li.in1k,90.3 MB
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k,946 MB
edgenext_small.usi_in1k,22.4 MB
nest_small_jx.goog_in1k,154 MB
vit_relpos_base_patch16_clsgap_224.sw_in1k,346 MB
vit_relpos_base_patch16_224.sw_in1k,346 MB
regnety_080_tv.tv2_in1k,158 MB
fbnetv3_g.ra2_in1k,67.1 MB
resnet61q.ra2_in1k,148 MB
wide_resnet50_2.racm_in1k,276 MB
poolformerv2_m48.sail_in1k,294 MB
efficientnet_b3.ra2_in1k,49.5 MB
regnetx_160.tv2_in1k,218 MB
resnext101_64x4d.c1_in1k,335 MB
cait_xxs24_384.fb_dist_in1k,48.3 MB
resnet51q.ra2_in1k,143 MB
cs3darknet_x.c2ns_in1k,140 MB
cs3sedarknet_l.c2ns_in1k,87.9 MB
coat_lite_small.in1k,79.5 MB
pvt_v2_b2.in1k,102 MB
tresnet_l.miil_in1k_448,225 MB
resnetv2_50d_gn.ah_in1k,102 MB
sequencer2d_s.in1k,111 MB
swinv2_cr_small_224.sw_in1k,199 MB
xcit_tiny_24_p8_224.fb_in1k,48.7 MB
fastvit_sa12.apple_dist_in1k,46.7 MB
vit_relpos_medium_patch16_cls_224.sw_in1k,155 MB
nasnetalarge.tf_in1k,356 MB
seresnext50_32x4d.racm_in1k,111 MB
crossvit_18_dagger_240.in1k,177 MB
repvit_m3.dist_in1k,43.4 MB
ecaresnet50d.miil_in1k,103 MB
wide_resnet101_2.tv2_in1k,508 MB
resnext101_32x8d.tv2_in1k,356 MB
crossvit_18_240.in1k,173 MB
focalnet_tiny_srf.ms_in1k,114 MB
resnest101e.in1k,194 MB
gcvit_xtiny.in1k,Model Authorization Error
tiny_vit_11m_224.in1k,44.1 MB
coatnet_rmlp_nano_rw_224.sw_in1k,60.7 MB
ecaresnet101d_pruned.miil_in1k,99.9 MB
vit_relpos_medium_patch16_rpn_224.sw_in1k,155 MB
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,114 MB
resnetrs101.tf_in1k,255 MB
coatnext_nano_rw_224.sw_in1k,58.9 MB
poolformer_m48.sail_in1k,294 MB
regnety_160.tv2_in1k,335 MB
mixer_b16_224.miil_in21k_ft_in1k,240 MB
tresnet_xl.miil_in1k,315 MB
xcit_tiny_12_p8_224.fb_dist_in1k,27 MB
xcit_tiny_12_p16_384.fb_dist_in1k,27 MB
convit_base.fb_in1k,346 MB
resnetv2_50d_evos.ah_in1k,102 MB
resnet152.tv2_in1k,242 MB
tf_efficientnet_b3.ap_in1k,49.5 MB
vit_base_patch32_clip_224.openai_ft_in1k,353 MB
visformer_small.in1k,161 MB
vit_srelpos_medium_patch16_224.sw_in1k,155 MB
focalnet_tiny_lrf.ms_in1k,115 MB
crossvit_15_dagger_240.in1k,113 MB
convnext_tiny_hnf.a2h_in1k,114 MB
vit_relpos_medium_patch16_224.sw_in1k,155 MB
swin_s3_tiny_224.ms_in1k,116 MB
coatnet_0_rw_224.sw_in1k,110 MB
xcit_small_24_p16_224.fb_in1k,191 MB
repvit_m1_1.dist_450e_in1k,35.7 MB
swinv2_tiny_window8_256.ms_in1k,115 MB
pit_s_distilled_224.in1k,96.2 MB
efficientvit_b2.r224_in1k,97.6 MB
ecaresnet50t.a1_in1k,103 MB
